business_id,labels
0916a,1 2 3 5 6 7 8
092lt,1 2 3 5 6 8
098ef,1 2 3 5 6 8
098un,1 2 3 5 6 8
09ckq,1 2 3 5 6
09ejq,1 2 3 5 6 8
09iat,1 2 3 5 6 8
09kll,1 2 5 6 8
09pmi,1 2 3 5 6 8
09ptq,2 3 5 6 8
09w5k,1 2 5 6 8
0a1ko,1 2 5 6 8
0a45c,3 5 6 8
0a938,5 6 8
0adc9,2 6 8
0adst,1 5 6 8
0ahhr,0 6 8
0aj6u,1 2 5 6 8
0akmq,1 2 4 5 6 7
0au0t,3 5 8
0axc7,1 2 4 5 6 7
0axvc,1 2 5 6
0b8ky,8
0bcfg,1 2 5 6 8
0beyy,1 2 3 5 6 8
0bnm5,1 2 5 6 8
0bzjp,1 2 3 5 6 8
0bzjx,1 2 5 6 8
0c5ka,1 2 3 5 6
0cbyt,1 2 3 5 6 7 8
0cjq2,1 2 5 6 8
0cnbh,1 2 3 5 6 7
0cvd1,1 2 3 5 6 7 8
0cyxs,6 8
0dbg2,1 2 5 6 8
0ddwy,1 2 5 6 8
0dfrm,1 2 5 6 8
0div3,1 5 6 8
0djgl,1 2 5 6 8
0e2eh,1 2 3 5 6 8
0e3bg,1 2 5 6 8
0e3cn,0 2 5 6 8
0e69f,1 2 5 6
0eilg,1 2 3 5 6 8
0em68,1 2 5 6 8
0eolh,6 8
0eps4,1 2 3 5 6 8
0eqm9,5 6 8
0ey3w,1 2 3 5 6
0f3qk,1 2 5 6
0f46h,1 2 3 5 6 7 8
0f4hh,1 2 3 5 6
0fbnt,2 3 5 6 8
0fenh,1 2 4 5 6
0fo37,0 3 8
0frr7,1 2 5 6 8
0ftqi,1 2 5 6 8
0ftr0,1 2 5 6 8
0g47h,1 2 3 5 6 8
0gbv7,0 3 5 6 8
0ghm5,1 2 5 6 8
0gjgs,1 2 3 5 6
0gnbb,1 2 3 5 6 8
0gtmi,1 2 3 5 6 8
0gxlt,1 2 5 6 8
0h0hd,1 2 5 6 8
0h1a4,1 2 5 6 8
0h4wo,2 3 5 6 8
0h5qu,1 2 4 5 6 7
0h8d4,1 2 5 6 8
0h8d5,1 2 3 4 5 6 7
0hbpj,0 1 2 5 6 8
0hfot,2 5 6 8
0hlhs,2 5 6 8
0hqkx,1 2 3 5 6 8
0hr59,1 2 3 5 6 8
0hv5j,1 2 3 5 6 8
0hx8q,1 2 3 5 6 8
0hy2b,1 2 5 6 8
0hyg2,1 2 5 6 8
0i4yt,1 2 5 6 8
0i5sb,0 6 8
0ib7h,1 2 3 5 6
0iiax,1 2 3 4 5 6 7
0iimp,1 2 3 5 6 7 8
0il9j,1 2 5 6 8
0imrj,1 2 3 5 6 8
0imwn,1 2 5 6 8
0iuhw,1 2 5 6 8
0j2q7,0 8
0j8vu,1 2 5 6 8
0j8zu,1 2 3 5 6
0jbjh,1 2 3 5 6 8
0jc5r,1 2 5 6 8
0jc65,1 2 5 6 8
0jfku,2 3 5 6 8
0jiz6,3 5 6 8
0jty2,1 2 3 4 5 6 7
0jvh7,1 2 3 5 6 8
0k4ul,1 2 3 5 6 8
0ke39,2 5 6 8
0l70b,1 2 3 5 6 8
0la7t,1 2 3 5 6
0laj4,1 2 5 6 8
0llgh,1 2 5 6 8
0lmxz,1 2 5 6 8
0lyuo,0 3 8
0lz84,0 2 5 6 8
0m08q,0 8
0m3wj,1 2 3 5 6 8
0m7ri,1 2 3 5 6
0maca,0 1 5 6 8
0mmu4,1 2 5 6 8
0mreo,1 2 5 6 8
0n1ay,1 2 3 5 6
0n2m1,1 2 5 6 8
0n4nu,1 2 5 6 8
0n8do,1 2 3 5 6
0n8et,1 2 3 5 6 7 8
0n8t4,1 2 3 5 6 8
0nn94,1 2 5 6 8
0nq6o,0 1 2 3 5 6 8
0nq8g,1 2 5 6
0nr91,1 2 5 6 8
0nrue,1 2 3 4 5 6 7
0nyh7,1 2 3 5 6 8
0o9fn,0 2 5 6 8
0ob7h,0 1 2 3 5 6 8
0oi66,1 2 3 5 6 8
0okpg,1 2 4 5 6 7
0omun,8
0oq6q,1 2 3 5 6 8
0ov4f,1 2 5 6 8
0ox18,1 2 5 6 8
0p81n,1 2 3 5 6 8
0pac2,1 2 5 6
0pdq3,1 2 5 6 8
0phk2,1 2 3 5 6
0pmkh,1 2 5 6
0poig,0 8
0prxg,1 2 5 6 8
0pthg,0 8
0pwam,1 2 3 5 6 8
0q08m,1 2 3 5 6 8
0q2ua,0 6 8
0q3on,3 8
0q6bl,2 3 5 6 8
0qevl,1 2 3 5 6
0qj4g,0 8
0qy5h,1 2 5 6 8
0qz6n,1 2 3 5 6 8
0rc3e,1 2 5 6 8
0re2p,3 8
0rgkv,8
0rorx,1 2 5 6 8
0rq2p,1 2 6 8
0rqis,0 1 2 5 6 8
0ruub,1 2 4 5 6
0rzi7,1 2 5 6
0s3z5,1 2 5 6 7
0s7wm,1 2 5 6 8
0s8h6,1 2 3 5 6 8
0s9nf,1 2 3 5 6 8
0scv4,1 2 5 6
0shj8,1 2 3 5 6
0stwm,1 2 4 5 6 7 8
0svix,1 2 5 6 8
0swcw,0 2 6 8
0swrj,1 2 5 6 8
0t34n,0 3 8
0t3cj,1 2 3 5 6
0t3ix,1 2 5 6 8
0t6ke,1 2 3 4 5 6 7
0tabm,6 8
0tc9p,0 2 3 5 6 8
0tqv0,1 2 5 6 8
0trt0,0 3 8
0tudg,2 3 5 6
0u1l6,1 2 3 5 6
0u8hj,0 5 6 8
0ugkn,1 2 3 4 5 6 7
0uhqx,1 2 5 6 8
0ulsw,1 2 5 6 8
0unkr,1 2 5 6
0uv14,1 2 3 5 6 8
0v1p7,1 2 5 6 8
0v6gl,1 2 3 5 6 7 8
0v8j8,3 8
0vd8s,1 2 5 6 8
0vre2,1 2 5 6 8
0vtru,1 2 5 6 8
0w01d,0 3 8
0w67f,1 2 3 5 6 8
0w6cx,1 2 5 6 8
0wkxz,1 2 3 5 6 8
0wn4d,0 6 8
0wof6,1 2 5 6
0wuwu,1 2 5 6
0wxz7,1 3 5 6
0wyma,5 6 8
0x908,1 2 5 6 8
0x9my,1 2 5 6
0xbc6,1 2 3 5 6 8
0xg8y,1 2 3 5 6 8
0xn17,1 2 5 6
0xnm9,8
0xo8z,5 6 8
0xveu,1 2 5 6
0y2o3,1 2 5 6 8
0ycld,0 3 5 8
0yhrn,1 2 5 6 8
0yqq9,1 2 3 5 6 8
0z01d,1 2 3 4 5 6 7
0z57b,1 2 3 5 6 8
0z5ry,1 2 5 6 7 8
0z6vo,1 2 5 6 8
0zb7e,1 2 5 6 8
0zg3y,3 8
0zrov,1 2 5 6
0zzlg,1 2 3 5 6 8
102f2,6 8
103ir,1 2 5 6 7 8
10drp,0 1 2 5 6 8
10p5u,1 2 5 6 8
10wjv,6 8
10xh1,1 2 5 6
10z4d,1 2 3 5 6 8
1105p,1 2 5 6 8
113vs,1 2 3 5 6 8
118bv,2 3 5 6
118ux,1 2 5 6 8
11aib,1 2 3 5 6 8
11gpr,0 2 3 5 6 8
11ioq,1 2 3 5 6 7 8
11m2v,1 2 5 6 8
11oi1,5 6 8
11sk5,0 1 2 3 5 6 8
11uii,1 2 3 5 6 8
122v6,1 2 5 6 8
123w4,1 2 5 6 8
1263s,3 5 6 8
12mex,0 1 2 5 6 8
12p62,5
12q8i,1 2 3 5 6 8
131go,1 2 3 5 6 7
13frb,2 3 5 6 8
13fw1,0 1 2 5 6 8
13jt0,0 1 2 5 6 8
13kjn,1 2 5 6 8
13nuw,1 2 3 5 6
13qgp,1 2 5 6 8
13wxb,1 2 5 6 8
144vd,1 2 5 6 8
149zx,1 2 5 6 8
14ipn,1 2 5 6 8
14m5f,1 2 3 5 6 8
14zfw,1 2 5 6 8
152yz,1 2 3 5 6 8
155ip,0 1 2 3 5 6 8
1584k,1 2 3 5 6 7
15918,1 3 5 6 8
15a44,1 2 5 6 8
15dh9,1 2 3 5 6 8
15k7r,1 2 4 5 6 7
15ofc,0 8
15qyl,3 8
15tqa,1 2 3 5 6 8
16145,1 2 5 6 8
16153,1 2 4 5 6 7
163jv,1 2 5 6 8
164ok,1 2 3 5 6
169vn,1 2 5 6
16chm,1 2 4 5 6 8
16l5s,1 2 3 5 6 7
16m1r,1 2 3 5 6 8
16o2x,1 2 3 4 5 6 7
1757b,1 2 5 6 8
175ez,1 2 5 6 8
17ctg,1 2 3 5 6
17lt8,1 2 3 5 6 7 8
17pb7,5 6 8
17qtl,1 2 3 5 6 8
17r96,1 2 5 6 8
17w4d,1 2 5 6 8
17wka,1 2 3 5 6 8
17ymz,0 1 2 5 6 8
182ao,1 2 4 5 6
188mq,1 2 3 5 6 7 8
18b3y,1 2 3 5 6 7
18cak,1 5 6
18iem,1 2 5 6 7
18ljz,0 5 8
18r62,1 2 5 6 8
18uq1,1 2 5 6 8
19bod,1 2 3 5 6
19c32,6 8
19f70,1 2 3 4 5 6 7
19ga6,1 2 5 6 8
19pgl,0 1 2 3 5 6 8
19sm5,1 2 3 5 6 8
1a01j,1 2 5 6
1a6qc,0 1 5 6 8
1a9dn,1 2 3 4 5 6 7
1a9jq,1 2 5 6 8
1aeys,1 2 5 6 8
1aizo,1 2 3 4 5 6 7
1andp,0 1 2 3 5 6 8
1anvj,0 3 8
1aq6n,1 2 4 5 6 7
1aywh,1 2 4 5 6 7
1b0u4,1 2 3 4 5 6 7
1bb6q,1 2 5 6 8
1bdpm,1 2 3 5 6
1bg2i,0 2 5 6 8
1biy5,5 6 8
1bmle,1 2 3 5 6 8
1bzhj,0 8
1c3sl,1 2 5 6 8
1c4ak,1 2 5 6
1c5p2,1 2 5 6 8
1ca1k,1 2 4 5 6 7
1cajm,0 8
1ceoc,1 2 3 5 6 8
1cnr4,6 8
1cp6q,1 2 3 5 6 8
1cqlh,1 2 5 6 8
1d1vg,1 2 5 6 8
1d3im,1 2 3 5 6 8
1db08,1 3 5 6
1dcev,2 5 6 8
1dfyw,1 2 5 6 8
1di7s,1 2 5 6 8
1dk14,0 1 2 3 5 6 8
1dm5g,0 1 2 3 5 6 8
1do0d,1 2 5 6
1dsri,1 2 5 6
1e2pk,1 2 5 6 8
1e34p,1 2 3 5 6 8
1ec43,1 2 3 5 6 8
1ekse,0 1 5 6 8
1eogb,1 2 5 6 8
1eqn4,1 2 3 5 6 8
1f3xl,1 2 5 6 8
1f4sk,1 2 3 5 6 7 8
1f5ex,2 3 5 6 8
1f8kz,1 2 3 5 6 8
1f99i,1 2 3 5 6
1f9nm,1 2 5 6 7 8
1fbqh,0 1 2 5 6 8
1fg2d,1 2 5 6 8
1fi4u,1 2 3 5 6 7
1fjj2,0 3 8
1fkf8,1 2 5 6 8
1fpvt,1 2 5 6 8
1gg00,0 1 2 3 5 6 8
1gnvj,1 2 3 5 6 7
1gozl,0 3 5 6 8
1gqze,1 2 5 6 8
1h4vx,1 2 3 5 6 8
1h9m0,1 2 3 5 6 8
1hgih,1 2 5 6 8
1hig5,1 2 3 5 6 8
1hu0r,1 2 3 5 6 8
1hv8u,1 2 3 5 6 8
1i4bi,0 1 2 5 6 8
1iaz6,1 2 5 6 8
1icrn,1 2 3 5 6 8
1id5n,1 2 5 6 8
1ifxf,1 2 5 6
1iktw,1 2 5 6
1iuux,1 2 3 5 6 8
1iz4c,1 2 3 5 6 8
1j2g2,1 2 3 5 6 8
1jetm,1 2 5 6 7
1jfje,1 2 5 6 8
1jhd4,0 3 8
1jik6,1 2 5 6 8
1jlh9,1 2 3 5 6 8
1jlrm,1 2 5 6
1jmp4,1 2 3 5 6 8
1jrct,1 2 3 5 6 8
1jvo5,0 1 2 3 5 6 8
1jvqu,1 2 5 6 8
1k3v3,0 1 2 5 6 8
1k8ru,0 6 8
1k9gq,1 2 4 5 6 7
1kr59,1 2 3 5 6
1kw5i,1 2 5 6 8
1kw6g,1 2 3 5 6 8
1kwj3,1 2 3 5 6 7
1kxqu,1 2 5 6 8
1l72d,1 2 5 6 8
1la8k,1 2 5 6 8
1lbe9,1 2 3 5 6 8
1lcof,1 2 3 5 6 8
1lhhv,1 2 5 6 8
1lneo,1 2 5 6 8
1lnzk,5 6 8
1ltns,0 3 5 8
1lvgn,0 8
1ly64,1 2 3 5 6 8
1lyyo,1 2 5 6 8
1mb6s,0 1 2 3 5 6 8
1me67,1 2 3 5 6 7 8
1moxe,1 5 6
1mqg0,1 2 3 5 6 8
1mu0b,1 2 5 6 8
1mwwj,1 2 3 5 6 8
1n9ss,0 5 6 8
1n9zg,1 2 3 5 6 8
1nbbh,2 5 6 8
1nd86,1 2 5 6
1nlp7,1 2 3 5 6 8
1nnvp,1 2 5 6 8
1npai,1 2 5 6 8
1nr5r,1 2 3 5 6 8
1nsa9,1 2 4 5 6 7
1oci4,1 3 5 6
1odko,1 2 3 5 6 7
1oevl,1 2 5 6 8
1olou,1 5 6 8
1ooqj,1 2 3 5 6 7
1osph,2 3 5 6 8
1ovby,1 2 5 6
1oveb,1 2 3 5 6 8
1p4rg,1 2 5 6
1pdge,2 6 8
1phyf,1 2 5 6 8
1pj73,1 2 3 4 5 6 7 8
1pj8b,1 2 5 6 8
1pk3p,2 3 5 6 8
1pkme,1 2 3 5 6 8
1ppq2,2 3 5 6 8
1pqox,1 2 3 5 6 8
1ps9h,1 2 5 6 7 8
1q0ls,1 2 3 5 6 8
1q4qk,1 2 3 5 6 8
1q6je,0 6 8
1qoat,0 1 2 5 6 8
1qrdw,1 2 3 5 6 8
1qyq7,2 3 5 6 8
1r8xp,1 2 3 4 5 6 7
1rdjf,1 2 3 5 6 8
1red8,1 2 3 5 6 8
1rhp2,1 2 5 6 8
1rju5,1 2 3 5 6 8
1rsa5,0 8
1ruq0,1 3 5 6 8
1sdbh,1 2 5 6 8
1sf7p,1 2 3 5 6 7 8
1snie,2 5 6 8
1stpo,2 3 5 6 8
1t6tb,1 2 3 5 6 8
1t8wu,1 2 3 5 6 7 8
1ta3y,1 2 5 6 8
1tgnj,1 2 5 6 7
1to59,1 2 5 6 8
1tp9i,3 5 6 8
1tpmp,1 2 5 6 7 8
1tpqe,0 1 2 5 6 8
1tq1t,1 2 5 6 8
1u679,1 2 5 6
1u8ar,1 2 3 5 6 8
1u8dz,1 2 3 5 6 8
1uc9e,1 2 5 6
1ucp9,1 2 3 5 6 8
1ugnb,1 3 5 6 8
1uk1n,1 2 5 6 8
1um2k,1 2 5 6 8
1uq1s,1 2 5 6 8
1uyqo,1 2 5 6 8
1v5c0,1 2 4 5 6
1v6dv,1 2 5 6 8
1v7b5,1 2 5 6 8
1va5w,2 5 6 8
1vi4a,1 2 5 6 8
1w2d3,1 2 3 5 6 8
1w45u,0 3 5 8
1w7x4,5 6 8
1we82,1 5 6 8
1wevr,1 2 5 6 8
1wlmv,1 2 5 6 8
1wmxi,1 2 5 6 8
1wpjf,0 5 6 8
1wt2q,1 2 3 5 6 8
1wtez,0 8
1wtnl,1 2 5 6 8
1wuyt,1 2 5 6
1wvv4,1 2 3 5 6 8
1xa0x,1 2 3 5 6 8
1xelt,1 2 3 5 6 7 8
1xgc0,1 2 5 6 8
1xt3a,0 1 2 5 6 8
1y6kr,1 2 5 6 8
1yfkb,1 2 3 5 6 8
1yftp,1 2 5 6 8
1yht9,1 2 3 5 6 8
1yirp,1 2 5 6 8
1yppr,2 3 5 6 8
1z3sk,5 6 8
1z9c6,1 2 3 5 6
1za4p,2 3 5 6 8
1zf3m,1 2 5 6 8
1zfvn,0 1 2 5 6 8
1zjuy,1 2 5 6 8
1zngh,1 2 5 6 8
1zpzs,1 2 3 5 6 8
1zqhe,1 2 3 5 6
1zuh9,1 2 5 6 8
202i6,1 2 5 6 8
207ue,1 2 5 6 8
209b2,1 2 3 5 6 8
20b8p,1 2 5 6
20frc,0 5 8
20hsy,0 6 8
20icp,1 2 5 6 8
20nk1,1 2 5 6 8
20ukp,1 2 3 5 6 8
20uu8,1 2 3 5 6 8
20xc6,0 1 2 5 6 8
215s9,1 2 3 5 6 8
21l58,1 2 5 6 8
21qgl,0 6 8
21smj,1 2 3 5 6 8
222in,0 1 2 5 6 8
222va,1 2 3 5 6 8
2275p,1 2 3 4 5 6 7
22ibt,1 5 6 8
22oiz,1 2 3 5 6
22tj0,1 2 5 6 8
22z8w,1 2 3 5 6 8
2350j,1 2 3 5 6 8
2352y,1 2 3 4 5 6 7
23dbq,1 2 3 5 6 8
23dpa,1 2 3 5 6 8
23ual,1 2 5 6
23z2e,1 2 5 6 8
242te,1 2 5 6 8
249oh,1 2 3 5 6 8
24g3m,1 2 3 5 6 8
24q28,0 1 2 5 6 8
24scj,1 2 5 6 8
24x3f,1 2 5 6 8
253fx,1 2 3 4 5 6 7
258tz,1 2 5 6 8
25dvk,1 2 3 5 6 8
25f99,1 2 3 5 6 8
25gby,1 2 5 6 8
25nyb,1 2 5 6 8
25to6,1 2 5 6 8
25uou,1 2 3 5 6 8
25vxy,1 2 3 5 6 8
25yf1,1 2 5 6 8
26165,1 2 5 6 8
263ky,1 2 4 5 6
2653a,1 2 3 4 5 6 7 8
26ren,0 1 2 5 6 8
26spn,1 2 3 5 6 8
26yii,2 3 5 6 8
26ysm,0 1 2 5 6 8
26zdr,1 2 5 6 8
27002,1 2 5 6 8
271r3,1 2 5 6 8
273hy,1 2 3 5 6 8
279pd,1 2 4 5 6
27hty,0 2 6 8
27lj4,0 1 2 3 5 6 8
27rwo,1 2 5 6 8
27trb,1 2 3 5 6 8
27v5m,1 2 5 6 8
282os,1 2 3 5 6 7
29bln,1 2 3 5 6 8
29fdd,1 2 5 6 8
29fu7,0 1 2 5 6 8
29lbo,1 2 3 5 6 7 8
29lbs,1 2 5 6 8
29pjd,1 2 3 5 6 7 8
29vk2,1 2 5 6 8
29wh3,2 3 5 6 8
2a06s,1 2 5 6 8
2a7ng,1 2 3 5 6 8
2acak,1 2 4 5 6 7
2acuw,1 2 3 5 6
2aczx,1 2 5 6 8
2afxe,2 3 5 6 8
2axb1,8
2axyo,1 2 5 6 8
2b12o,1 2 5 6
2b5z7,1 2 5 6 8
2bc5v,1 2 5 6 8
2bib3,1 2 3 4 5 6 7
2bk9j,1 2 3 5 6 7
2bmxs,1 2 3 5 6 8
2bsuh,1 2 3 5 6
2bu0l,1 2 5 6 8
2bul4,1 2 3 5 6 7 8
2bxje,1 2 5 6 8
2c88y,0 8
2cdtu,1 2 3 5 6
2cij2,1 2 5 6
2crs5,1 2 5 6 8
2ctxo,1 2 3 5 6
2cu1k,1 2 3 5 6 8
2cyqd,1 2 5 6 8
2dce8,1 2 3 5 6 8
2ddub,1 2 5 6 7
2dh1w,1 2 5 6
2dpse,1 2 3 5 6 8
2dxy7,1 2 5 6 8
2e0ln,1 2 5 6 8
2e84u,1 2 3 5 6 8
2ehyg,1 2 5 6 8
2ezcs,1 2 3 5 6 7 8
2f2ty,1 2 3 5 6 8
2f6zq,1 2 5 6 8
2fcma,1 2 3 5 6 8
2fkxy,1 2 5 6 7
2fmea,0 3 8
2fqx7,1 2 3 5 6 7
2frag,1 2 3 5 6 8
2ft9g,1 2 3 5 6 8
2fthl,1 2 3 5 6
2g18k,1 2 3 5 6
2g2yf,1 2 5 6 8
2g4bm,0 3 8
2gcw8,1 2 3 5 6 8
2ggft,1 2 3 5 6 7
2glba,1 2 3 5 6 8
2grk0,1 2 3 5 6
2h44q,0 8
2h731,1 2 5 6
2hc70,1 2 3 4 5 6 7
2hdsd,1 2 5 6 8
2hk1v,1 2 3 5 6 8
2hq3j,1 2 5 6 8
2hth7,1 2 3 5 6 8
2hx1g,1 2 3 5 6
2i2gf,1 2 5 6 8
2i3j3,1 2 3 5 6 8
2i5yw,1 2 5 6 8
2idw2,2 3 5 6 8
2if6u,1 2 5 6 8
2ikxe,1 2 5 6 8
2in4v,1 2 5 6 8
2iqc4,1 2 3 5 6 8
2iqnk,0 2 5 6 8
2iqvb,1 2 3 5 6
2is66,1 5 6 8
2iwih,1 2 3 5 6 8
2iwjf,1 2 3 5 6
2j4ff,5 6 8
2j5p0,1 2 3 5 6 8
2j9qa,1 2 3 5 6 8
2jgav,1 2 3 5 6 8
2jk4n,1 2 3 5 6 8
2jm5n,0 1 2 5 6 8
2jspw,1 2 5 6 8
2juja,1 2 3 5 6 8
2jw3q,1 2 3 5 6 8
2jxew,1 2 3 5 6
2k8rb,1 2 3 5 6 8
2km2h,1 5 6 8
2kqse,0 5 6 8
2kswt,1 2 3 5 6 8
2kvvx,3 5 6 8
2kwq7,1 5 6 8
2l2fz,1 2 5 6 8
2lho0,1 2 5 6 8
2llnt,1 2 3 4 5 6 7
2ltfz,1 2 5 6 8
2lym1,0 8
2m196,1 2 3 5 6
2m231,1 2 5 6 8
2mjkr,3 8
2mlt3,1 2 3 5 6 8
2mm8y,2 3 5 6 8
2n4fu,3 5 6 8
2n9gy,1 2 5 6 8
2nrrq,1 2 5 6 8
2nt7j,1 2 5 6 8
2oacw,0 6 8
2okij,1 2 3 5 6 8
2ox8u,5 6 8
2ozhc,1 2 5 6 8
2p0il,1 2 3 5 6 7 8
2p4vg,1 2 3 4 5 6 7
2p6vt,1 2 5 6 8
2p8ss,1 2 3 5 6 8
2pb9l,1 2 5 6 8
2pjl8,1 2 3 5 6 7
2pnu5,1 2 3 5 6 8
2prpb,1 2 3 5 6 8
2pwiz,1 2 5 6 8
2q08n,1 2 5 6 8
2q2ll,1 2 5 6 8
2q6qi,1 2 5 6 8
2qa5e,1 2 3 5 6 7
2qjmm,1 2 3 5 6
2r5xw,2 3 4 5 6
2r9ir,1 2 5 6 8
2rbmi,1 2 3 5 6 8
2rfh1,1 2 3 5 6 7 8
2rmv6,1 2 3 5 6 8
2rs7b,1 2 5 6 8
2ru96,0 1 2 5 6 8
2rv7z,1 2 5 6 8
2rwpd,1 2 3 4 5 6 7
2s0fu,1 2 3 5 6 8
2s2ha,1 2 3 5 6 8
2s9i5,1 2 5 6
2sf9c,1 2 5 6 8
2smnw,1 2 5 6 8
2sp1s,1 2 5 6
2sq9e,0 3 8
2sr8w,0 6 8
2srhx,1 2 5 6
2t06z,1 2 5 6 8
2t86y,1 2 5 6 8
2t9m4,1 2 3 5 6 8
2tse9,1 2 3 4 5 6 7
2tso7,1 2 5 6 8
2u6qe,1 2 3 5 6 7
2u8ew,0 1 2 5 6 8
2u9ky,1 2 3 5 6 8
2ufja,1 2 3 5 6
2uj1k,0 1 2 5 6 8
2uo1d,1 2 3 5 6 7
2ut5c,1 2 3 5 6
2uzp8,1 2 3 5 6 8
2vtfz,1 2 3 5 6 8
2vxcc,1 2 5 6 8
2w0il,2 3 5 6 8
2w3s8,1 2 3 5 6 8
2w9fc,1 2 3 5 6
2w9im,1 2 3 5 6 8
2wa83,1 2 5 6 8
2wbil,1 2 5 6 8
2wcdy,1 2 3 5 6
2wd4x,0 3 5 8
2xcg2,1 2 5 6 8
2xddl,1 2 3 5 6 8
2xl0h,1 2 5 6 8
2xu0t,2 3 5 6 8
2xw52,1 2 5 6 8
2y2rp,1 2 5 6 8
2yauf,1 2 3 5 6
2ybxd,1 2 3 5 6 8
2yeud,1 2 4 5 6 7
2yfj8,0 2 5 6 8
2yjze,1 2 3 5 6 8
2ykgp,1 2 5 6 8
2ymiz,1 2 3 5 6 7
2ymov,3 8
2ywgu,0 8
2yzg4,0 2 6 8
2zb85,1 2 5 6 8
2zhhk,1 2 3 5 6
2zkot,1 2 3 5 6
2zup2,0 8
2zxk3,1 2 3 5 6 8
30a4w,1 2 5 6 8
30cyu,1 2 5 6
30mrn,1 2 5 6 8
30qm8,1 2 5 6 7 8
30rgq,0 6 8
30sn8,1 2 4 5 6 7
312zd,1 2 3 5 6 8
31578,1 2 5 6 8
31f52,1 2 3 5 6 8
31ghu,1 2 5 6 8
31gux,1 2 3 5 6 8
31ikl,1 2 5 6 8
31jvz,1 2 3 5 6 8
31n0s,1 2 3 5 6 8
31qr1,1 2 3 5 6 8
31xwa,1 2 5 6 8
31y16,1 2 4 5 6 7
321ey,1 2 5 6 8
32m06,1 2 5 6 8
32my8,1 2 5 6
32rak,3 5 6 8
3312z,1 2 5 6 8
33cmf,6 8
33f85,1 2 3 5 6 8
33p3w,1 2 5 6 8
33pkk,6 8
344q5,0 1 2 5 6 8
346um,1 2 5 6 8
34d5s,1 2 3 5 6 8
34hdl,1 2 5 6 8
34i42,1 2 5 6
34kyx,1 2 3 5 6 8
34utl,1 2 5 6 8
34vp7,1 2 3 5 6 8
34w54,1 2 5 6 8
350m1,1 2 3 5 6 8
352iu,5 6 8
357kz,1 2 3 4 5 6 7
3580p,1 2 5 6
35dol,1 2 5 6 8
361ze,1 2 5 6
36btp,1 2 5 6 8
36gec,1 2 5 6 8
36rec,6 8
36uyl,1 2 3 5 6
370k3,1 2 5 6 8
374nr,1 2 3 5 6 8
376an,1 2 5 6 8
37b21,1 2 5 6 8
37biw,1 2 3 5 6 8
37if9,1 2 3 5 6 8
37k5h,1 2 3 5 6 8
380gw,1 2 3 5 6 8
383jc,1 2 3 5 6 7 8
3867q,1 2 3 5 6 8
388lp,1 2 3 5 6
389dd,1 2 5 6 8
38b73,1 2 3 5 6 7 8
38ije,1 2 3 4 5 6 7
38jfw,1 2 5 6 8
38lwf,1 2 5 6 8
394o5,1 2 5 6 8
39aji,0 3 8
39da0,1 2 5 6 8
39e4c,1 2 3 5 6
39gcr,1 2 3 5 6 8
39hup,1 2 3 5 6 8
39ie0,1 2 3 4 5 6 7
39sxz,1 2 5 6 8
3a4wc,1 2 5 6 8
3abm9,1 2 5 6 8
3acri,1 3 4 5 6
3aebl,1 2 3 5 6
3amll,6 8
3aonv,1 2 5 6 8
3aq9z,1 2 3 5 6 7
3az75,1 2 5 6
3b0bd,0 2 5 6 8
